"TRAT" "REP" "PROD"
"21" "1" 223
"21" "2" 1347
"21" "3" 1097
"21" "4" 1742
"22" "1" 398
"22" "2" 1415
"22" "3" 1724
"22" "4" 784
"23" "1" 381
"23" "2" 1017
"23" "3" 1526
"23" "4" 727
"24" "1" 470
"24" "2" 1134
"24" "3" 1218
"24" "4" 1175
"25" "1" 868
"25" "2" 1019
"25" "3" 1526
"25" "4" 1278
"26" "1" 352
"26" "2" 756
"26" "3" 617
"26" "4" 718
"27" "1" 579
"27" "2" 740
"27" "3" 360
"27" "4" 718
"28" "1" 468
"28" "2" 351
"28" "3" 496
"28" "4" 553
"29" "1" 473
"29" "2" 973
"29" "3" 500
"29" "4" 908
"30" "1" 340
"30" "2" 565
"30" "3" 701
"30" "4" 1001
"31" "1" 427
"31" "2" 611
"31" "3" 1568
"31" "4" 758
"32" "1" 326
"32" "2" 1250
"32" "3" 1334
"32" "4" 1111
"33" "1" 428
"33" "2" 1601
"33" "3" 1535
"33" "4" 1639
"34" "1" 857
"34" "2" 647
"34" "3" 1360
"34" "4" 1028
"35" "1" 892
"35" "2" 1107
"35" "3" 1340
"35" "4" 1629
"36" "1" 738
"36" "2" 823
"36" "3" 1386
"36" "4" 1308
"37" "1" 476
"37" "2" 1182
"37" "3" 966
"37" "4" 936
"38" "1" 578
"38" "2" 164
"38" "3" 912
"38" "4" 1059
"39" "1" 403
"39" "2" 400
"39" "3" 988
"39" "4" 736
"40" "1" 364
"40" "2" 713
"40" "3" 1304
"40" "4" 603
